REF_ID;RIGHTNAME;RIGHTS
1;TREE;2
1;HISTORY;2
1;CALENDAR;2
1;DOCUMENTS;3
1;MEETINGS;2
1;PROJECTS;2
1;WIKI;1
1;TASKS;2
1;TIMEREG;2
1;MUSTENTERTIMES;0
1;REPORTS;1
2;CUSTOMERS;4
2;MASTERDATA;4
2;ORDERS;4
2;PRODUCTION;4
2;SUPPLY;4
2;BANK ACCOUNTS;4
2;BENEFITS;4
2;PIECELISTS;4
2;TIMELIST;4
2;TASKS;4
2;CALENDAR;4
2;WIKI;4
2;PROJECTS;4
2;PRICELIST;4
2;TIMEREG;4
2;BANKACCNTS;4
2;STORAGE;4
2;SANDBOX;2
2;STATISTICS;4
2;REPORTS;4
2;TREE;4
2;LISTS;4
2;HISTORY;4
2;DOCUMENTS;4
2;EDITFILTER;4
2;INVENTORY;4
2;SALESLIST;4
2;MEETINGS;4
3;OPTIONS;4
3;TASKS;
3;PROJECTS;4
3;STATISTICS;4
3;CUSTOMERS;4
3;MEETINGS;4
4;CUSTOMERS;4
4;MASTERDATA;4
4;PIECELISTS;4
5;TASKS;3
5;PROJECTS;3
5;STATISTICS;2
4;TASKS;4
4;PROJECTS;4
4;PRICELIST;4
6;CUSTOMERS;4
6;MASTERDATA;4
6;PIECELISTS;4
6;PROJECTS;4
6;PRICELIST;4
4;STATISTICS;4
11;LISTS;3
8;INVENTORY;3
9;SALESLIST;3
7;MEETINGS;0
7;DOCUMENTS;0
11;CUSTOMERS;4
11;MASTERDATA;4
11;ORDERS;4
